36586877,FBIS4-44440,0.09
36586877,FT932-2634,0.1
36586877,FBIS3-59001,0.99
36586877,FT944-1628,0.06
36586877,FBIS3-57961,0.96
36586877,FBIS4-64577,0.8
32591740,FBIS3-60336,0.0
32591740,FBIS4-64577,0.9
32591740,FT911-48,0.0
32591740,LA112489-0133,0.0
32591740,FBIS4-44440,0.0
32591740,FBIS4-46469,0.0
40387454,FBIS4-44277,0.8
40387454,FT922-751,0.8
40387454,FBIS4-44440,0.19
40387454,FBIS4-64577,0.8
40387454,FBIS4-29,0.1
40387454,FT941-13450,0.69
40387454,FT941-12878,0.86
42041426,FBIS4-64577,0.95
42041426,FT923-3617,0.77
42041426,FT934-14160,0.92
42041426,FT944-3970,0.21
42041426,FBIS4-44440,0.13
42041426,FR940810-2-00060,0.07
36077586,FT934-14567,0.0
36077586,FBIS4-64577,1.0
36077586,FBIS3-9064,0.0
36077586,FBIS4-44440,0.0
36077586,FBIS3-25402,0.0
36077586,LA011589-0005,0.0
36077586,FBIS3-29,0.0
41012070,FT932-17156,0.91
41012070,FBIS4-64577,1.0
41012070,FBIS4-44440,0.17
41012070,FBIS4-16214,0.22
41012070,FBIS3-31424,0.4
41012070,FR940119-2-00052,0.04
41012070,FBIS4-52045,0.03
39397009,FBIS4-64577,1.0
39397009,FT944-16965,0.0
39397009,FR940922-2-00103,0.0
39397009,LA010890-0105,0.0
39397009,FBIS4-44440,0.0
39397009,FBIS3-17533,0.0
39397009,FBIS4-66253,0.0
39397009,FBIS4-68772,0.0
27903250,FBIS4-44440,0.02
27903250,FBIS4-58430,0.02
27903250,FR940606-2-00035,0.0
27903250,FBIS4-64577,1.0
27903250,FT932-16523,0.98
27903250,FBIS4-47118,0.01
27903250,FBIS4-66185,0.01
27903250,LA081890-0014,0.01
33919870,FBIS4-64577,0.95
33919870,FT911-226,0.0
33919870,FT944-3912,0.0
33919870,FBIS4-44440,0.0
42201828,FBIS4-44440,0.41
42201828,FBIS3-30120,0.15
42201828,FBIS4-64577,0.8
42201828,FR940304-1-00087,0.2
42201828,FBIS3-9818,0.2
37848749,FBIS4-64577,0.96
37848749,FBIS4-44440,0.5
37848749,FBIS4-59248,0.0
37848749,FT911-3701,0.05
37848749,FBIS3-18131,0.95
41290202,FBIS3-39341,1.0
41290202,FBIS4-64577,1.0
41290202,FBIS3-23561,0.0
41290202,FBIS4-59241,0.05
41290202,FBIS4-44440,0.0
41290202,FT931-16890,0.0
41290202,FBIS3-13897,0.0
41290202,FR941202-2-00139,0.0
40544601,FBIS4-64577,0.68
40544601,FT942-1093,0.19
40544601,FR941012-2-00069,0.17
40544601,FBIS4-46649,0.09
40544601,FBIS4-44440,0.29
40544601,FBIS3-67,0.17
40544601,LA092089-0011,0.18
35444495,FT933-173,0.0
35444495,FT933-14918,1.0
35444495,FBIS4-64577,1.0
35444495,FT942-13390,1.0
35444495,FBIS4-44440,0.0
35444495,FR940711-2-00037,0.0
34335673,FR941026-2-00050,0.1
34335673,FBIS4-64577,0.8
34335673,FBIS3-18733,0.89
34335673,FBIS4-44440,0.1
34335673,FR940930-0-00120,0.0
34335673,FR940207-2-00073,0.4
37644835,FBIS4-64577,1.0
37644835,FT934-16124,1.0
37644835,FT933-16910,1.0
37644835,FT922-4102,0.0
37644835,FBIS4-44440,0.0
37644835,FBIS3-43204,0.0
36531316,FR941116-0-00097,0.0
36531316,FR941205-1-00050,0.0
36531316,FBIS4-44440,0.0
36531316,FBIS4-64577,1.0
36531316,FBIS3-23914,1.0
36531316,FBIS4-66382,0.0
36531316,FR940711-2-00038,0.0
38934292,FBIS4-44440,0.18
38934292,FBIS4-64577,0.77
38934292,FT934-6237,0.85
38934292,FT921-9511,0.24
38934292,FR941205-1-00042,0.26
38934292,LA112489-0132,0.22
38934292,FR940819-2-00055,0.71
38934292,FT911-3773,0.84
39472337,FT944-4056,0.98
39472337,FBIS3-48945,0.01
39472337,FR941206-1-00134,0.0
39472337,FT934-14176,0.01
39472337,FBIS4-44440,0.0
39472337,FBIS4-64577,1.0
36268643,FT944-2195,0.0
36268643,FBIS3-18154,0.0
36268643,FT941-16995,0.0
36268643,FT924-4810,1.0
36268643,FBIS4-64577,1.0
36268643,FBIS4-44440,0.0
36268643,FBIS3-43142,0.0
37717112,FBIS4-64577,0.8
37717112,FT942-11118,0.7
37717112,FT924-4549,0.75
